url,label,url_length,dot_count,slash_count,subdomain_count,suspicious_keyword,special_char_count,digit_count,url_encoding_count,has_ip,is_shortened,repeated_char_count,https_present,has_at_symbol
http://www.alfolw.dk/[email%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%A0protected]/,phishing,422,2,4,2,0,130,191,128,0,0,1,0,0
https://takedownactioninfluencerx.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,phishing,82,2,3,2,0,4,16,0,0,0,0,1,0
https://640sycamore.duckdns.org/cgi-bin/index.ha/cgi-bin/index.ha,phishing,65,4,6,2,0,6,3,0,0,0,0,1,0
https://640sycamore.duckdns.org/cgi-bin/index.ha,phishing,48,3,4,2,0,4,3,0,0,0,0,1,0
https://640sycamore.duckdns.org/,phishing,32,2,3,2,0,2,3,0,0,0,0,1,0
https://complianceactionmarketamplified.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,phishing,88,2,3,2,0,4,16,0,0,0,0,1,0
https://cdn.trytraffics.com/rdr/YWE9Mzc4MDc3MjI0JnNlaT05ODA4MTUwJnRrPXhrYjF0U05vYk94Tll4bDNhem5BJnQ9NSZjPTkwYXM4NzZmZDg5YXM1Zmc4YTA5cw==,phishing,136,2,4,2,0,4,20,0,0,0,0,1,0
https://ganmiilogin.webflow.io/,phishing,31,2,3,2,1,2,0,0,0,0,0,1,0
https://gaminileggini.webflow.io/,phishing,33,2,3,2,0,2,0,0,0,0,0,1,0
https://cdn.trytraffics.com/rdr/YWE9Mzc4MDc3OTU2JnNlaT0zMDM3ODM3NSZ0az1pNkxWUU5Ld3F2VW5nZDlndFhnbSZ0PTUmYz05MGFzODc2ZmQ4OWFzNWZnOGEwOXM=,phishing,136,2,4,2,0,3,18,0,0,0,0,1,0
https://pencairan.pages.dev/,phishing,28,2,3,2,0,2,0,0,0,0,0,1,0
http://puckiy.business-minagne.com/,phishing,35,2,3,2,0,3,0,0,0,0,0,0,0
https://cn-maighdiln-uid.pages.dev/help/contact/18617256769547,phishing,62,2,5,2,0,4,14,0,0,0,0,1,0
https://kushal98989.github.io/-Amazon-clone-,phishing,44,2,3,2,0,5,5,0,0,0,0,1,0
https://bapenda-5un.pages.dev/,phishing,30,2,3,2,0,3,1,0,0,0,0,1,0
https://complianceactionmarketamplified.vercel.app/complaint&z,phishing,62,2,3,2,0,2,0,0,0,0,0,1,0
https://yahoomail.com.carbonmatter.com/login_verify.html,phishing,56,4,3,3,1,5,0,0,0,0,0,1,0
https://airdiagnostic.com/,phishing,26,1,3,1,0,1,0,0,0,0,0,1,0
https://agenjne.pages.dev/,phishing,26,2,3,2,0,2,0,0,0,0,0,1,0
https://harishamid591.github.io/Netflix-responsive,phishing,50,2,3,2,0,3,3,0,0,0,0,1,0
https://geaminiloginsus.webflow.io/,phishing,35,2,3,2,1,2,0,0,0,0,0,1,0
https://cdn.trytraffics.com/rdr/YWE9Mzc5ODYzOTA3JnNlaT0yNzQwNDg4MiZ0az0xQzBDQTRqbXdIOEJPRGNrQ2JmTSZ0PTUmYz05MGFzODc2ZmQ4OWFzNWZnOGEwOXM=,phishing,136,2,4,2,0,3,13,0,0,0,0,1,0
https://currentlymailacc.weebly.com/,phishing,36,2,3,2,0,2,0,0,0,0,0,1,0
https://ghzeminilioogin.webflow.io/,phishing,35,2,3,2,0,2,0,0,0,0,0,1,0
http://www.shorten.is/@authenticateinformationpage349754743/,phishing,60,2,4,2,0,3,9,0,0,0,1,0,1
https://gezimnilogeun.webflow.io/,phishing,33,2,3,2,0,2,0,0,0,0,0,1,0
https://loggnzeminn.webflow.io/,phishing,31,2,3,2,0,2,0,0,0,0,0,1,0
https://gemmbianiloggi.webflow.io/,phishing,34,2,3,2,0,2,0,0,0,0,0,1,0
https://gaminileogn.webflow.io/,phishing,31,2,3,2,0,2,0,0,0,0,0,1,0
https://gairraiminelogi.webflow.io/,phishing,35,2,3,2,0,2,0,0,0,0,0,1,0
https://portal--eng--coinbasepro--cdn--auth.webflow.io/,phishing,55,2,3,2,0,10,0,0,0,0,0,1,0
https://portal--coinbasepro--cdn--en-auth-cdn.webflow.io/,phishing,57,2,3,2,0,10,0,0,0,0,0,1,0
https://gemuini-lggin.webflow.io/,phishing,33,2,3,2,0,3,0,0,0,0,0,1,0
https://geiminlggini.webflow.io/,phishing,32,2,3,2,0,2,0,0,0,0,0,1,0
